Timestep 469/1000, Loss: 0.0227
Timestep 470/1000, Loss: 0.0225
Timestep 471/1000, Loss: 0.0225
Timestep 472/1000, Loss: 0.0230
Timestep 473/1000, Loss: 0.0227
Timestep 474/1000, Loss: 0.0228
Timestep 475/1000, Loss: 0.0225
Timestep 476/1000, Loss: 0.0223
Timestep 477/1000, Loss: 0.0228
Timestep 478/1000, Loss: 0.0218
Timestep 479/1000, Loss: 0.0231
Timestep 480/1000, Loss: 0.0220
Timestep 481/1000, Loss: 0.0225
Timestep 482/1000, Loss: 0.0227
Timestep 483/1000, Loss: 0.0226
Timestep 484/1000, Loss: 0.0221
Timestep 485/1000, Loss: 0.0222
Timestep 486/1000, Loss: 0.0225
Timestep 487/1000, Loss: 0.0223
Timestep 488/1000, Loss: 0.0226
Timestep 489/1000, Loss: 0.0220
Timestep 490/1000, Loss: 0.0222
Timestep 491/1000, Loss: 0.0228
Timestep 492/1000, Loss: 0.0233
Timestep 493/1000, Loss: 0.0224
Timestep 494/1000, Loss: 0.0228
Timestep 495/1000, Loss: 0.0215
Timestep 496/1000, Loss: 0.0226
Timestep 497/1000, Loss: 0.0218
Timestep 498/1000, Loss: 0.0230
Timestep 499/1000, Loss: 0.0224
Timestep 500/1000, Loss: 0.0222
Timestep 501/1000, Loss: 0.0222
Timestep 502/1000, Loss: 0.0220
Timestep 503/1000, Loss: 0.0223
Timestep 504/1000, Loss: 0.0217
Timestep 505/1000, Loss: 0.0230
Timestep 506/1000, Loss: 0.0222
Timestep 507/1000, Loss: 0.0224
Timestep 508/1000, Loss: 0.0224
Timestep 509/1000, Loss: 0.0224
Timestep 510/1000, Loss: 0.0223
Timestep 511/1000, Loss: 0.0234
Timestep 512/1000, Loss: 0.0226
Timestep 513/1000, Loss: 0.0232
Timestep 514/1000, Loss: 0.0222
Timestep 515/1000, Loss: 0.0217
Timestep 516/1000, Loss: 0.0231
Timestep 517/1000, Loss: 0.0222
Timestep 518/1000, Loss: 0.0222
Timestep 519/1000, Loss: 0.0223
Timestep 520/1000, Loss: 0.0221
Timestep 521/1000, Loss: 0.0220
Timestep 522/1000, Loss: 0.0223
Timestep 523/1000, Loss: 0.0220
Timestep 524/1000, Loss: 0.0213
Timestep 525/1000, Loss: 0.0224
Timestep 526/1000, Loss: 0.0224
Timestep 527/1000, Loss: 0.0225
Timestep 528/1000, Loss: 0.0237
Timestep 529/1000, Loss: 0.0220
Timestep 530/1000, Loss: 0.0221
Timestep 531/1000, Loss: 0.0214
Timestep 532/1000, Loss: 0.0224
Timestep 533/1000, Loss: 0.0229
Timestep 534/1000, Loss: 0.0225
Timestep 535/1000, Loss: 0.0224
Timestep 536/1000, Loss: 0.0213
Timestep 537/1000, Loss: 0.0227
Timestep 538/1000, Loss: 0.0220
Timestep 539/1000, Loss: 0.0215
Timestep 540/1000, Loss: 0.0222
Timestep 541/1000, Loss: 0.0225
Timestep 542/1000, Loss: 0.0225
Timestep 543/1000, Loss: 0.0222
Timestep 544/1000, Loss: 0.0223
Timestep 545/1000, Loss: 0.0222
Timestep 546/1000, Loss: 0.0218
Timestep 547/1000, Loss: 0.0224
Timestep 548/1000, Loss: 0.0230
Timestep 549/1000, Loss: 0.0225
Timestep 550/1000, Loss: 0.0217
Timestep 551/1000, Loss: 0.0226
Timestep 552/1000, Loss: 0.0213
Timestep 553/1000, Loss: 0.0214
Timestep 554/1000, Loss: 0.0220
Timestep 555/1000, Loss: 0.0218
Timestep 556/1000, Loss: 0.0222
Timestep 557/1000, Loss: 0.0222
Timestep 558/1000, Loss: 0.0222
Timestep 559/1000, Loss: 0.0226
Timestep 560/1000, Loss: 0.0221
Timestep 561/1000, Loss: 0.0219
Timestep 562/1000, Loss: 0.0217
Timestep 563/1000, Loss: 0.0224
Timestep 564/1000, Loss: 0.0216
Timestep 565/1000, Loss: 0.0220
Timestep 566/1000, Loss: 0.0221
